70	253	5.05801
69	253	5.09824
68	253	5.11691
67	253	5.12203
71	252	5.06243
70	252	5.20124
69	252	10.5315
68	252	33.5095
67	252	9.38933
66	252	5.11867
71	251	5.10065
70	251	8.78183
69	251	440.592
68	251	612.162
67	251	368.894
66	251	7.43969
65	251	5.08809
71	250	5.07418
70	250	22.5472
69	250	609.347
68	250	694.93
67	250	636.624
66	250	15.4709
65	250	5.0569
71	249	5.07499
70	249	5.82413
69	249	185.66
68	249	523.694
67	249	123.757
66	249	5.35938
65	249	5.03359
70	248	5.07247
69	248	5.31928
68	248	8.89329
67	248	5.27648
66	248	5.06153
69	247	5.03664
68	247	5.07578
67	247	5.03243
209	245	5.06758
208	245	5.05383
207	245	5.12018
206	245	5.09143
210	244	5.06313
209	244	5.23204
208	244	22.9394
207	244	40.4691
206	244	6.4497
205	244	5.11458
210	243	5.08581
209	243	27.0588
208	243	431.332
207	243	426.818
206	243	198.36
205	243	5.2633
204	243	5.03414
210	242	5.13749
209	242	62.0892
208	242	422.696
207	242	428.513
206	242	400.072
205	242	6.29857
204	242	5.03375
210	241	5.0773
209	241	7.8062
208	241	304.949
207	241	474.451
206	241	50.6772
205	241	5.15162
210	240	5.03019
209	240	5.10773
208	240	5.97803
207	240	7.70094
206	240	5.16186
205	240	5.0806
207	239	5.03531
188	242	5.03587
187	242	5.13905
186	242	5.0977
185	242	5.06511
189	241	5.06376
188	241	5.37668
187	241	45.9445
186	241	72.3085
185	241	6.68895
184	241	5.08784
189	240	5.10635
188	240	41.3953
187	240	780.336
186	240	946.558
185	240	160.595
184	240	5.09169
189	239	5.12854
188	239	59.1842
187	239	876.732
186	239	1021.47
185	239	219.81
184	239	5.14737
189	238	5.07269
188	238	6.49785
187	238	141.981
186	238	212.79
185	238	7.73068
184	238	5.0623
188	237	5.06654
187	237	5.14503
186	237	5.17675
185	237	5.07385
121	233	5.10729
120	233	5.06596
124	232	5.03654
123	232	5.16639
122	232	7.23139
121	232	19.7389
120	232	6.036
119	232	5.13029
124	231	5.08194
123	231	7.39092
122	231	381.406
121	231	753.848
120	231	221.199
119	231	5.36848
118	231	5.03179
124	230	5.13183
123	230	25.9818
122	230	875.927
121	230	2168.64
120	230	624.482
119	230	12.754
118	230	5.08512
124	229	5.03944
123	229	7.20503
122	229	369.214
121	229	738.537
120	229	191.253
119	229	5.29839
118	229	5.03563
124	228	5.06957
123	228	5.13141
122	228	6.67515
121	228	17.3534
120	228	5.41744
119	228	5.09986
122	227	5.03686
121	227	5.0723
120	227	5.03098
17	230	5.0345
20	229	5.03396
19	229	5.09419
18	229	5.16326
17	229	5.118
16	229	5.07263
21	228	5.04197
20	228	5.16121
19	228	21.5631
18	228	250.704
17	228	117.111
16	228	6.15125
15	228	5.05268
20	227	6.85956
19	227	430.818
18	227	1180.64
17	227	894.984
16	227	37.3898
15	227	5.14839
21	226	5.07566
20	226	6.89172
19	226	391.247
18	226	1072.86
17	226	787.999
16	226	30.6765
15	226	5.093
20	225	5.16047
19	225	15.8679
18	225	167.797
17	225	64.4756
16	225	5.43086
15	225	5.06236
19	224	5.12662
18	224	5.16059
17	224	5.11634
16	224	5.08339
39	217	5.12
38	217	5.12288
37	217	5.11374
36	217	5.07344
40	216	5.11582
39	216	7.46038
38	216	124.509
37	216	95.7907
36	216	7.73631
35	216	5.08537
41	215	5.06291
40	215	5.15927
39	215	219.791
38	215	1048.38
37	215	918.431
36	215	76.354
35	215	5.14431
40	214	5.23187
39	214	270.869
38	214	1101.78
37	214	948.003
36	214	80.9452
35	214	5.0964
40	213	5.1021
39	213	11.4626
38	213	235.895
37	213	152.902
36	213	6.6926
35	213	5.11663
39	212	5.14531
38	212	5.20398
37	212	5.1212
36	212	5.12407
147	202	847.02
146	202	737.751
148	201	1432.33
147	201	1844.06
146	201	2057.43
145	201	1109.67
148	200	1104.15
147	200	1968.63
146	200	1940.28
145	200	1293.34
147	199	1151.7
146	199	476.52
145	194	5.06513
144	194	5.13669
143	194	5.15762
142	194	5.11706
145	193	5.42268
144	193	31.0666
143	193	86.136
142	193	10.7533
141	193	5.11389
152	193	5.03506
150	194	5.07387
149	194	5.03019
151	193	5.14257
150	193	6.14426
149	193	5.27821
148	193	5.16671
147	193	5.07874
152	192	5.11921
151	192	23.1617
150	192	404.286
149	192	300.432
148	192	9.49946
147	192	5.08752
146	192	5.06553
145	192	20.6842
144	192	680.447
143	192	1028.4
142	192	340.345
